商品コード,商品名,商品分類タグ,代表商品コード,Select/Checkbox用項目名,ship-weight
ad087-re,サドルカバー ad087 @レッド,[メール便可],ad087,M30,15
ad088,交換用タイヤ キックボード 8インチ ad088,[メール便可],,M90,50
ad089-bg,ダブルキャンピングマット 2.5cm ad089 @ブルー・グレー,[S][ゆうパック通商],ad089,,
ad089-gg,ダブルキャンピングマット 2.5cm ad089 @グリーン・グレー,[S][ゆうパック通商],ad089,,
ad089-og,ダブルキャンピングマット 2.5cm ad089 @オレンジ・グレー,[S][ゆうパック通商],ad089,,
ad090-bl,踏み込み式キックスケーター ad090 @ブルー,[S][ゆうパック通商],ad090,,
ad090-rd,踏み込み式キックスケーター ad090 @レッド,[S][ゆうパック通商],ad090,,
ad091-bk,防水バッグ10L ad091 @ブラック,[メール便可],ad091,M90,50
ad091-bu,防水バッグ10L ad091 @ブルー,[メール便可],ad091,M90,50
ad091-or,防水バッグ10L ad091 @オレンジ,[メール便可],ad091,M90,50
ad091-pi,防水バッグ10L ad091 @ピンク,[メール便可],ad091,M90,50
ad091-ye,防水バッグ10L ad091 @イエロー,[メール便可],ad091,M90,50
ad092-bk,防水バッグ10L ad091 @ブラック,[メール便可],ad092,M90,50
ad092-bu,防水バッグ20L ad092 @ブルー,[メール便可],ad092,M90,50
ad092-or,防水バッグ20L ad092 @オレンジ,[メール便可],ad092,M90,50
ad092-pi,防水バッグ20L ad092 @ピンク,[メール便可],ad092,M90,50
ad092-ye,防水バッグ20L ad092 @イエロー,[メール便可],ad092,M90,50
ad093,ゴルフ練習器具 ad093,[メール便可],,M33,16
ad094-hubg,寝袋 1.4kg -5℃ ad094 @封筒型 @ブラック・グレー,[S][Y][ゆうパックC],ad094,P15,
ad094-hume,寝袋 1.4kg -5℃ ad094 @封筒型 @迷彩,[S][Y][ゆうパックC],ad094,P15,
ad094-huog,寝袋 1.4kg -5℃ ad094 @封筒型 @オレンジ・グレー,[S][Y][ゆうパックC],ad094,P15,
ad094-hure,寝袋 1.4kg -5℃ ad094 @封筒型 @レッド,[S][Y][ゆうパックC],ad094,P15,
ad094-hurg,寝袋 1.4kg -5℃ ad094 @封筒型 @レッド・グレー,[S][Y][ゆうパックC],ad094,P15,
ad094-mabg,寝袋 1.4kg -5℃ ad094 @マミー型 @ブラック・グレー,[S][Y][ゆうパックC],ad094,P15,
ad094-mame,寝袋 1.4kg -5℃ ad094 @マミー型 @迷彩,[S][Y][ゆうパックC],ad094,P15,
ad094-maog,寝袋 1.4kg -5℃ ad094 @マミー型 @オレンジ・グレー,[S][Y][ゆうパックC],ad094,P15,
ad094-mare,寝袋 1.4kg -5℃ ad094 @マミー型 @レッド,[S][Y][ゆうパックC],ad094,P15,
ad094-marg,寝袋 1.4kg -5℃ ad094 @マミー型 @レッド・グレー,[S][Y][ゆうパックC],ad094,P15,
ad095-hubg,寝袋 1.75kg -10℃ ad095 @封筒型 @ブラック・グレー,[S][Y][ゆうパックC],ad095,P15,
ad095-hubk,寝袋 1.75kg -10℃ ad095 @封筒型 @ブラック,[S][Y][ゆうパックC],ad095,P15,
ad095-hune,寝袋 1.75kg -10℃ ad095 @封筒型 @ネイビー,[S][Y][ゆうパックC],ad095,P15,
ad095-hure,寝袋 1.75kg -10℃ ad095 @封筒型 @レッド,[S][Y][ゆうパックC],ad095,P15,
ad095-huro,寝袋 1.75kg -10℃ ad095 @封筒型 @レッド・オレンジ,[S][Y][ゆうパックC],ad095,P15,
ad095-mabg,寝袋 1.75kg -10℃ ad095 @マミー型 @ブラック・グレー,[S][Y][ゆうパックC],ad095,P15,
ad095-mabk,寝袋 1.75kg -10℃ ad095 @マミー型 @ブラック,[S][Y][ゆうパックC],ad095,P15,
ad095-mane,寝袋 1.75kg -10℃ ad095 @マミー型 @ネイビー,[S][Y][ゆうパックC],ad095,P15,
